Title|Website|Source|Course|Category|Cuisine|Rating|Difficulty
Sweet Potato Home Fries|"<a href=""https://www.marthastewart.com/1524061/sweet-potato-home-fries"" target=""_blank"" class=""class2"">Sweet Potato Home Fries</a>"|Martha Stewart|Breakfast|Other|Southern|8|5
Avocado Pesto Toast|"<a href=""https://cookieandkate.com/2017/avocado-pesto-toast-recipe/"" target=""_blank"" class=""class2"">Avocado Pesto Toast</a>"|Cookie & Kate|Breakfast|Other|American|7|3
Hummus Quesadillas|"<a href=""https://cookieandkate.com/2017/hummus-quesadillas-recipe/"" target=""_blank"" class=""class2"">Hummus Quesadillas</a>"|Cookie & Kate|Entree|Quesadilla|Other|8|5
Baked Sweet Potato Fries|"<a href=""https://cookieandkate.com/2018/baked-sweet-potato-fries/"" target=""_blank"" class=""class2"">Baked Sweet Potato Fries</a>"|Cookie & Kate|Side|Other|American|8|5
Thai Peanut Quinoa Salad|"<a href=""https://cookieandkate.com/2017/thai-peanut-quinoa-salad-recipe/"" target=""_blank"" class=""class2"">Thai Peanut Quinoa Salad</a>"|Cookie & Kate|Entree|Bowl|Asian|8|4
Crunchy Cashew Quinoa Thai Bowl|"<a href=""https://www.ambitiouskitchen.com/crunchy-cashew-thai-quinoa-salad-with-ginger-peanut-dressing/"" target=""_blank"" class=""class2"">Crunchy Cashew Quinoa Thai Bowl</a>"|Ambitious Kitchen|Entree|Bowl|Asian|8|4
Brussels Sprouts Pizza|"<a href=""https://cookieandkate.com/2015/brussels-sprouts-pizza-recipe/"" target=""_blank"" class=""class2"">Brussels Sprouts Pizza</a>"|Cookie & Kate|Entree|Pizza|Italian|7|5
Masala Lentil Salad with Cumin-Roasted Carrots|"<a href=""https://cookieandkate.com/2018/masala-lentil-salad-with-cumin-roasted-carrots/"" target=""_blank"" class=""class2"">Masala Lentil Salad with Cumin-Roasted Carrots</a>"|Cookie & Kate|Entree|Salad|Other|4|4
Butternut Squash Chipotle Chili|"<a href=""https://cookieandkate.com/2012/butternut-squash-chipotle-chili-with-avocado/"" target=""_blank"" class=""class2"">Butternut Squash Chipotle Chili</a>"|Cookie & Kate|Entree|Soup|Mexican|6|6
BBQ Pineapple-Jalepeno Pizza|"<a href=""https://cookieandkate.com/2014/barbecue-pineapple-jalapeno-and-feta-pizza/"" target=""_blank"" class=""class2"">BBQ Pineapple-Jalepeño Pizza</a>"|Cookie & Kate|Entree|Pizza|American|7|4
Hearty Spaghetti with Lentil Marinara|"<a href=""https://cookieandkate.com/2018/hearty-spaghetti-with-lentils-marinara/"" target=""_blank"" class=""class2"">Hearty Spaghetti with Lentil Marinara</a>"|Cookie & Kate|Entree|Pasta|Italian|6|3
Best Vegetable Lasagna|"<a href=""https://cookieandkate.com/2017/best-vegetable-lasagna-recipe/"" target=""_blank"" class=""class2"">Best Vegetable Lasagna</a>"|Cookie & Kate|Entree|Pasta|Italian|7|6
Roasted Broccoli, Chickpea, Quinoa Bowls|"<a href=""https://www.nourishedtheblog.com/roasted-broccoli-chickpea-quinoa-bowls/"" target=""_blank"" class=""class2"">Roasted Broccoli, Chickpea, Quinoa Bowls</a>"|Nourished|Entree|Bowl|American|8|6
General Tso Cauliflower|"<a href=""https://www.delish.com/cooking/recipe-ideas/recipes/a50010/general-tso-cauliflower/"" target=""_blank"" class=""class2"">General Tso Cauliflower</a>"|Delish|Appetizer|Other|Asian|9|7
Homemade Vegetarian Chili|"<a href=""https://cookieandkate.com/2015/vegetarian-chili-recipe/"" target=""_blank"" class=""class2"">Homemade Vegetarian Chili</a>"|Cookie & Kate|Entree|Soup|American|8|5
Spiralized Sweet Potato & Black Bean Quesadilla|"<a href=""https://cookieandkate.com/2016/sweet-potato-black-bean-quesadillas-recipe/"" target=""_blank"" class=""class2"">Spiralized Sweet Potato & Black Bean Quesadilla</a>"|Cookie & Kate|Entree|Quesadilla|Mexican|7|6
Lemony Roasted Cauliflower Risotto|"<a href=""https://cookieandkate.com/2015/lemony-roasted-cauliflower-risotto/"" target=""_blank"" class=""class2"">Lemony Roasted Cauliflower Risotto</a>"|Cookie & Kate|Entree|Risotto|Italian|8|6
